year,countyID,tractID,pop60
1960,189,101,4853
1960,189,102,8077
1960,189,103,4756
1960,189,104,5301
1960,189,105,9228
1960,189,106,9239
1960,189,107,3356
1960,189,108,2262
1960,189,109,3383
1960,189,110,6494
1960,189,111,11012
1960,189,112,8652
1960,189,113,14807
1960,189,114,2414
1960,189,115,4713
1960,189,116,7302
1960,189,117,4612
1960,189,118,5993
1960,189,119,3343
1960,189,120,11784
1960,189,121,11228
1960,189,122,11363
1960,189,123,5585
1960,189,124,2751
1960,189,125,6022
1960,189,126,6264
1960,189,127,10259
1960,189,128,7587
1960,189,129,7577
1960,189,130,1525
1960,189,131,4180
1960,189,132,5640
1960,189,133,7259
1960,189,134,10159
1960,189,135,7118
1960,189,136,6604
1960,189,137,9947
1960,189,138,7621
1960,189,139,5257
1960,189,140,2594
1960,189,141,2213
1960,189,142,4928
1960,189,143,5325
1960,189,144,7687
1960,189,145,4444
1960,189,146,11637
1960,189,147,9129
1960,189,148,9312
1960,189,149,4541
1960,189,150,3740
1960,189,151,2937
1960,189,152,2129
1960,189,153,5567
1960,189,154,6372
1960,189,155,5600
1960,189,156,4602
1960,189,157,8610
1960,189,158,9352
1960,189,159,9754
1960,189,160,3512
1960,189,161,8942
1960,189,162,11079
1960,189,163,5180
1960,189,164,6892
1960,189,165,3901
1960,189,166,4217
1960,189,167,6014
1960,189,168,5391
1960,189,169,3550
1960,189,170,4350
1960,189,171,1572
1960,189,172,3080
1960,189,173,4070
1960,189,174,7435
1960,189,175,4910
1960,189,176,6495
1960,189,177,2760
1960,189,178,5921
1960,189,179,8295
1960,189,180,2460
1960,189,181,3452
1960,189,182,4901
1960,189,183,4855
1960,189,184,8512
1960,189,185,5868
1960,189,186,3222
1960,189,187,1552
1960,189,188,7048
1960,189,189,6523
1960,189,190,2852
1960,189,191,5426
1960,189,192,3318
1960,189,193,2859
1960,189,194,7587
1960,189,195,8571
1960,189,196,4730
1960,189,197,7097
1960,189,198,7994
1960,189,199,7238
1960,189,200,9102
1960,189,201,7379
1960,189,202,11163
1960,189,203,2595
1960,189,204,8880
1960,189,205,6905
1960,189,206,6327
1960,189,207,7522
1960,189,208,10461
1960,189,209,3984
1960,189,210,5003
1960,189,211,1561
1960,189,212,4515
1960,189,213,6173
1960,189,214,3767
1960,189,215,4487
1960,189,216,4077
1960,510,1A,3622
1960,510,1B,4165
1960,510,1C,5890
1960,510,1D,4861
1960,510,1E,4734
1960,510,1F,2086
1960,510,1G,5112
1960,510,2A,3664
1960,510,2B,8779
1960,510,2C,2978
1960,510,2D,3325
1960,510,2E,2685
1960,510,3A,4329
1960,510,3B,5440
1960,510,3C,1327
1960,510,3D,3603
1960,510,3E,1585
1960,510,3F,2044
1960,510,3G,4162
1960,510,4A,4699
1960,510,4B,5858
1960,510,4C,3699
1960,510,4D,559
1960,510,5A,4460
1960,510,5B,6247
1960,510,5C,7637
1960,510,5D,7441
1960,510,5E,11121
1960,510,6A,10969
1960,510,6B,6573
1960,510,6C,7833
1960,510,6D,6551
1960,510,6E,8163
1960,510,6F,7531
1960,510,6G,8270
1960,510,7A,998
1960,510,7B,3258
1960,510,7C,6625
1960,510,7D,6033
1960,510,7E,5136
1960,510,7F,3514
1960,510,7G,6339
1960,510,8A,4496
1960,510,8B,2942
1960,510,8C,3075
1960,510,8D,1124
1960,510,8E,1393
1960,510,8F,147
1960,510,9A,5942
1960,510,9B,710
1960,510,9C,4434
1960,510,9D,3128
1960,510,9E,3954
1960,510,10A,7978
1960,510,10B,6436
1960,510,10C,8003
1960,510,10D,6591
1960,510,10E,5905
1960,510,11A,12159
1960,510,11B,9546
1960,510,11C,9025
1960,510,11D,9587
1960,510,11E,8556
1960,510,12A,8277
1960,510,12B,7872
1960,510,12C,7920
1960,510,12D,7242
1960,510,13A,9073
1960,510,13B,3347
1960,510,13C,1936
1960,510,13D,1690
1960,510,14A,12003
1960,510,14B,7326
1960,510,14C,7824
1960,510,15A,4647
1960,510,15B,3522
1960,510,15C,6367
1960,510,15D,4243
1960,510,15E,8332
1960,510,15F,8106
1960,510,15G,5644
1960,510,16A,4517
1960,510,16B,7811
1960,510,16C,9251
1960,510,16D,7463
1960,510,16E,7009
1960,510,17A,3921
1960,510,17B,13466
1960,510,17C,9253
1960,510,17D,8338
1960,510,18A,5273
1960,510,18B,6643
1960,510,18C,1188
1960,510,18D,259
1960,510,18E,5649
1960,510,19A,9270
1960,510,19B,7519
1960,510,19C,7461
1960,510,20A,6260
1960,510,20B,4841
1960,510,20C,11114
1960,510,21A,4926
1960,510,21B,11248
1960,510,21C,20833
1960,510,21D,2388
1960,510,22A,6063
1960,510,22B,1135
1960,510,22C,321
1960,510,22D,7997
1960,510,23A,11233
1960,510,23B,10036
1960,510,23C,8788
1960,510,23D,12749
1960,510,23E,2796
1960,510,24A,9095
1960,510,24B,7045
1960,510,24C,10510
1960,510,24D,1496
1960,510,24E,3209
1960,510,25A,1111
1960,510,25B,9885
1960,510,25C,1571
1960,510,25D,561
1960,510,26A,9346
1960,510,26B,2232
1960,510,26C,5257
1960,510,26D,3497
1960,510,26E,3785
