Geo_FIPS,Geo_NAME,Geo_QName,Geo_State,Geo_COUNTY,Geo_TractCode,Geo_TRACT,Geo_SUFFTRT,Geo_METROARA,Geo_PLACE,Geo_URBANARA,SE_T001_001
"29510101100","1011","Census Tract 1011, St Louis City County, Missouri","29","510","101100","1011",,"7040",,,4166
"29510101200","1012","Census Tract 1012, St Louis City County, Missouri","29","510","101200","1012",,"7040",,,4436
"29510101300","1013","Census Tract 1013, St Louis City County, Missouri","29","510","101300","1013",,"7040",,,5836
"29510101400","1014","Census Tract 1014, St Louis City County, Missouri","29","510","101400","1014",,"7040",,,4138
"29510101500","1015","Census Tract 1015, St Louis City County, Missouri","29","510","101500","1015",,"7040",,,4488
"29510101600","1016","Census Tract 1016, St Louis City County, Missouri","29","510","101600","1016",,"7040",,,1237
"29510101700","1017","Census Tract 1017, St Louis City County, Missouri","29","510","101700","1017",,"7040",,,4549
"29510101799","1017.99","Census Tract 1017.99, St Louis City County, Missouri","29","510","101799","1017","99","7040",,,53
"29510102100","1021","Census Tract 1021, St Louis City County, Missouri","29","510","102100","1021",,"7040",,,3564
"29510102200","1022","Census Tract 1022, St Louis City County, Missouri","29","510","102200","1022",,"7040",,,8272
"29510102300","1023","Census Tract 1023, St Louis City County, Missouri","29","510","102300","1023",,"7040",,,2771
"29510102400","1024","Census Tract 1024, St Louis City County, Missouri","29","510","102400","1024",,"7040",,,3174
"29510102500","1025","Census Tract 1025, St Louis City County, Missouri","29","510","102500","1025",,"7040",,,2564
"29510103100","1031","Census Tract 1031, St Louis City County, Missouri","29","510","103100","1031",,"7040",,,4406
"29510103200","1032","Census Tract 1032, St Louis City County, Missouri","29","510","103200","1032",,"7040",,,4857
"29510103300","1033","Census Tract 1033, St Louis City County, Missouri","29","510","103300","1033",,"7040",,,1213
"29510103400","1034","Census Tract 1034, St Louis City County, Missouri","29","510","103400","1034",,"7040",,,2963
"29510103500","1035","Census Tract 1035, St Louis City County, Missouri","29","510","103500","1035",,"7040",,,1113
"29510103600","1036","Census Tract 1036, St Louis City County, Missouri","29","510","103600","1036",,"7040",,,2081
"29510103700","1037","Census Tract 1037, St Louis City County, Missouri","29","510","103700","1037",,"7040",,,3743
"29510104100","1041","Census Tract 1041, St Louis City County, Missouri","29","510","104100","1041",,"7040",,,4439
"29510104200","1042","Census Tract 1042, St Louis City County, Missouri","29","510","104200","1042",,"7040",,,5716
"29510104300","1043","Census Tract 1043, St Louis City County, Missouri","29","510","104300","1043",,"7040",,,2829
"29510104400","1044","Census Tract 1044, St Louis City County, Missouri","29","510","104400","1044",,"7040",,,739
"29510105100","1051","Census Tract 1051, St Louis City County, Missouri","29","510","105100","1051",,"7040",,,4538
"29510105200","1052","Census Tract 1052, St Louis City County, Missouri","29","510","105200","1052",,"7040",,,6681
"29510105300","1053","Census Tract 1053, St Louis City County, Missouri","29","510","105300","1053",,"7040",,,6723
"29510105400","1054","Census Tract 1054, St Louis City County, Missouri","29","510","105400","1054",,"7040",,,5480
"29510105500","1055","Census Tract 1055, St Louis City County, Missouri","29","510","105500","1055",,"7040",,,7728
"29510106100","1061","Census Tract 1061, St Louis City County, Missouri","29","510","106100","1061",,"7040",,,9957
"29510106200","1062","Census Tract 1062, St Louis City County, Missouri","29","510","106200","1062",,"7040",,,7210
"29510106300","1063","Census Tract 1063, St Louis City County, Missouri","29","510","106300","1063",,"7040",,,8325
"29510106400","1064","Census Tract 1064, St Louis City County, Missouri","29","510","106400","1064",,"7040",,,6436
"29510106500","1065","Census Tract 1065, St Louis City County, Missouri","29","510","106500","1065",,"7040",,,7337
"29510106600","1066","Census Tract 1066, St Louis City County, Missouri","29","510","106600","1066",,"7040",,,7162
"29510106700","1067","Census Tract 1067, St Louis City County, Missouri","29","510","106700","1067",,"7040",,,7589
"29510107100","1071","Census Tract 1071, St Louis City County, Missouri","29","510","107100","1071",,"7040",,,1418
"29510107200","1072","Census Tract 1072, St Louis City County, Missouri","29","510","107200","1072",,"7040",,,2553
"29510107300","1073","Census Tract 1073, St Louis City County, Missouri","29","510","107300","1073",,"7040",,,6634
"29510107400","1074","Census Tract 1074, St Louis City County, Missouri","29","510","107400","1074",,"7040",,,5891
"29510107500","1075","Census Tract 1075, St Louis City County, Missouri","29","510","107500","1075",,"7040",,,5480
"29510107600","1076","Census Tract 1076, St Louis City County, Missouri","29","510","107600","1076",,"7040",,,4168
"29510107700","1077","Census Tract 1077, St Louis City County, Missouri","29","510","107700","1077",,"7040",,,6727
"29510108100","1081","Census Tract 1081, St Louis City County, Missouri","29","510","108100","1081",,"7040",,,3952
"29510108200","1082","Census Tract 1082, St Louis City County, Missouri","29","510","108200","1082",,"7040",,,2876
"29510108300","1083","Census Tract 1083, St Louis City County, Missouri","29","510","108300","1083",,"7040",,,2814
"29510108400","1084","Census Tract 1084, St Louis City County, Missouri","29","510","108400","1084",,"7040",,,1078
"29510108500","1085","Census Tract 1085, St Louis City County, Missouri","29","510","108500","1085",,"7040",,,1778
"29510109100","1091","Census Tract 1091, St Louis City County, Missouri","29","510","109100","1091",,"7040",,,6824
"29510109200","1092","Census Tract 1092, St Louis City County, Missouri","29","510","109200","1092",,"7040",,,357
"29510109300","1093","Census Tract 1093, St Louis City County, Missouri","29","510","109300","1093",,"7040",,,3954
"29510109400","1094","Census Tract 1094, St Louis City County, Missouri","29","510","109400","1094",,"7040",,,2613
"29510109500","1095","Census Tract 1095, St Louis City County, Missouri","29","510","109500","1095",,"7040",,,3173
"29510110100","1101","Census Tract 1101, St Louis City County, Missouri","29","510","110100","1101",,"7040",,,7446
"29510110200","1102","Census Tract 1102, St Louis City County, Missouri","29","510","110200","1102",,"7040",,,7103
"29510110300","1103","Census Tract 1103, St Louis City County, Missouri","29","510","110300","1103",,"7040",,,7324
"29510110400","1104","Census Tract 1104, St Louis City County, Missouri","29","510","110400","1104",,"7040",,,6923
"29510110500","1105","Census Tract 1105, St Louis City County, Missouri","29","510","110500","1105",,"7040",,,6209
"29510111100","1111","Census Tract 1111, St Louis City County, Missouri","29","510","111100","1111",,"7040",,,9109
"29510111200","1112","Census Tract 1112, St Louis City County, Missouri","29","510","111200","1112",,"7040",,,7878
"29510111300","1113","Census Tract 1113, St Louis City County, Missouri","29","510","111300","1113",,"7040",,,6674
"29510111400","1114","Census Tract 1114, St Louis City County, Missouri","29","510","111400","1114",,"7040",,,7357
"29510111500","1115","Census Tract 1115, St Louis City County, Missouri","29","510","111500","1115",,"7040",,,5914
"29510112100","1121","Census Tract 1121, St Louis City County, Missouri","29","510","112100","1121",,"7040",,,7128
"29510112200","1122","Census Tract 1122, St Louis City County, Missouri","29","510","112200","1122",,"7040",,,6050
"29510112300","1123","Census Tract 1123, St Louis City County, Missouri","29","510","112300","1123",,"7040",,,6166
"29510112400","1124","Census Tract 1124, St Louis City County, Missouri","29","510","112400","1124",,"7040",,,5307
"29510113100","1131","Census Tract 1131, St Louis City County, Missouri","29","510","113100","1131",,"7040",,,6168
"29510113200","1132","Census Tract 1132, St Louis City County, Missouri","29","510","113200","1132",,"7040",,,3079
"29510113300","1133","Census Tract 1133, St Louis City County, Missouri","29","510","113300","1133",,"7040",,,1160
"29510113400","1134","Census Tract 1134, St Louis City County, Missouri","29","510","113400","1134",,"7040",,,1433
"29510114100","1141","Census Tract 1141, St Louis City County, Missouri","29","510","114100","1141",,"7040",,,11015
"29510114200","1142","Census Tract 1142, St Louis City County, Missouri","29","510","114200","1142",,"7040",,,6534
"29510114300","1143","Census Tract 1143, St Louis City County, Missouri","29","510","114300","1143",,"7040",,,7620
"29510115100","1151","Census Tract 1151, St Louis City County, Missouri","29","510","115100","1151",,"7040",,,4612
"29510115200","1152","Census Tract 1152, St Louis City County, Missouri","29","510","115200","1152",,"7040",,,3804
"29510115300","1153","Census Tract 1153, St Louis City County, Missouri","29","510","115300","1153",,"7040",,,7177
"29510115400","1154","Census Tract 1154, St Louis City County, Missouri","29","510","115400","1154",,"7040",,,3999
"29510115500","1155","Census Tract 1155, St Louis City County, Missouri","29","510","115500","1155",,"7040",,,7447
"29510115600","1156","Census Tract 1156, St Louis City County, Missouri","29","510","115600","1156",,"7040",,,6368
"29510115700","1157","Census Tract 1157, St Louis City County, Missouri","29","510","115700","1157",,"7040",,,5114
"29510116100","1161","Census Tract 1161, St Louis City County, Missouri","29","510","116100","1161",,"7040",,,4083
"29510116200","1162","Census Tract 1162, St Louis City County, Missouri","29","510","116200","1162",,"7040",,,7011
"29510116300","1163","Census Tract 1163, St Louis City County, Missouri","29","510","116300","1163",,"7040",,,8597
"29510116400","1164","Census Tract 1164, St Louis City County, Missouri","29","510","116400","1164",,"7040",,,6519
"29510116500","1165","Census Tract 1165, St Louis City County, Missouri","29","510","116500","1165",,"7040",,,6230
"29510117100","1171","Census Tract 1171, St Louis City County, Missouri","29","510","117100","1171",,"7040",,,3052
"29510117200","1172","Census Tract 1172, St Louis City County, Missouri","29","510","117200","1172",,"7040",,,10877
"29510117300","1173","Census Tract 1173, St Louis City County, Missouri","29","510","117300","1173",,"7040",,,7283
"29510117400","1174","Census Tract 1174, St Louis City County, Missouri","29","510","117400","1174",,"7040",,,7554
"29510118100","1181","Census Tract 1181, St Louis City County, Missouri","29","510","118100","1181",,"7040",,,3832
"29510118200","1182","Census Tract 1182, St Louis City County, Missouri","29","510","118200","1182",,"7040",,,4760
"29510118300","1183","Census Tract 1183, St Louis City County, Missouri","29","510","118300","1183",,"7040",,,595
"29510118400","1184","Census Tract 1184, St Louis City County, Missouri","29","510","118400","1184",,"7040",,,1754
"29510118500","1185","Census Tract 1185, St Louis City County, Missouri","29","510","118500","1185",,"7040",,,3568
"29510119100","1191","Census Tract 1191, St Louis City County, Missouri","29","510","119100","1191",,"7040",,,7830
"29510119200","1192","Census Tract 1192, St Louis City County, Missouri","29","510","119200","1192",,"7040",,,5589
"29510119300","1193","Census Tract 1193, St Louis City County, Missouri","29","510","119300","1193",,"7040",,,6143
"29510120100","1201","Census Tract 1201, St Louis City County, Missouri","29","510","120100","1201",,"7040",,,4541
"29510120200","1202","Census Tract 1202, St Louis City County, Missouri","29","510","120200","1202",,"7040",,,3908
"29510120300","1203","Census Tract 1203, St Louis City County, Missouri","29","510","120300","1203",,"7040",,,7509
"29510121100","1211","Census Tract 1211, St Louis City County, Missouri","29","510","121100","1211",,"7040",,,4148
"29510121200","1212","Census Tract 1212, St Louis City County, Missouri","29","510","121200","1212",,"7040",,,6804
"29510121300","1213","Census Tract 1213, St Louis City County, Missouri","29","510","121300","1213",,"7040",,,11124
"29510121400","1214","Census Tract 1214, St Louis City County, Missouri","29","510","121400","1214",,"7040",,,808
"29510122100","1221","Census Tract 1221, St Louis City County, Missouri","29","510","122100","1221",,"7040",,,3116
"29510122200","1222","Census Tract 1222, St Louis City County, Missouri","29","510","122200","1222",,"7040",,,182
"29510122400","1224","Census Tract 1224, St Louis City County, Missouri","29","510","122400","1224",,"7040",,,7131
"29510123100","1231","Census Tract 1231, St Louis City County, Missouri","29","510","123100","1231",,"7040",,,8097
"29510123200","1232","Census Tract 1232, St Louis City County, Missouri","29","510","123200","1232",,"7040",,,4430
"29510123300","1233","Census Tract 1233, St Louis City County, Missouri","29","510","123300","1233",,"7040",,,6289
"29510123400","1234","Census Tract 1234, St Louis City County, Missouri","29","510","123400","1234",,"7040",,,5576
"29510123500","1235","Census Tract 1235, St Louis City County, Missouri","29","510","123500","1235",,"7040",,,33
"29510124100","1241","Census Tract 1241, St Louis City County, Missouri","29","510","124100","1241",,"7040",,,7528
"29510124200","1242","Census Tract 1242, St Louis City County, Missouri","29","510","124200","1242",,"7040",,,5715
"29510124300","1243","Census Tract 1243, St Louis City County, Missouri","29","510","124300","1243",,"7040",,,7539
"29510124400","1244","Census Tract 1244, St Louis City County, Missouri","29","510","124400","1244",,"7040",,,609
"29510124500","1245","Census Tract 1245, St Louis City County, Missouri","29","510","124500","1245",,"7040",,,2623
"29510125100","1251","Census Tract 1251, St Louis City County, Missouri","29","510","125100","1251",,"7040",,,2444
"29510125200","1252","Census Tract 1252, St Louis City County, Missouri","29","510","125200","1252",,"7040",,,5912
"29510125300","1253","Census Tract 1253, St Louis City County, Missouri","29","510","125300","1253",,"7040",,,548
"29510125400","1254","Census Tract 1254, St Louis City County, Missouri","29","510","125400","1254",,"7040",,,1337
"29510126100","1261","Census Tract 1261, St Louis City County, Missouri","29","510","126100","1261",,"7040",,,5712
"29510126200","1262","Census Tract 1262, St Louis City County, Missouri","29","510","126200","1262",,"7040",,,1410
"29510126300","1263","Census Tract 1263, St Louis City County, Missouri","29","510","126300","1263",,"7040",,,3834
"29510126400","1264","Census Tract 1264, St Louis City County, Missouri","29","510","126400","1264",,"7040",,,2247
"29510126500","1265","Census Tract 1265, St Louis City County, Missouri","29","510","126500","1265",,"7040",,,2884
